"","from","to","weight"
"117","vir_ASV_59","ASV_974",-0.00104010089419834
"118","vir_ASV_60","ASV_308",0.00555214400929566
"119","vir_ASV_61","ASV_1453",0.00158431309986731
"120","vir_ASV_62","ASV_11",-0.028229067744573
"121","vir_ASV_62","ASV_20",-0.09259455235693
"122","vir_ASV_62","ASV_60",0.0557596694319794
"123","vir_ASV_62","ASV_530",0.00356830578732736
"124","vir_ASV_62","ASV_683",-0.0184352206898617
"125","vir_ASV_64","ASV_7",0.0485389198272514
"126","vir_ASV_65","ASV_113",0.132560627166284
"127","vir_ASV_65","ASV_619",0.00549787879724817
"128","vir_ASV_65","ASV_657",0.0512726337186548
"129","vir_ASV_66","ASV_20",0.0272981901556586
"130","vir_ASV_67","ASV_70",0.0271061841120523
"131","vir_ASV_67","ASV_85",0.00593409484562851
"132","vir_ASV_67","ASV_530",-0.00421919563800957
"133","vir_ASV_67","ASV_683",0.0154015514911834
"134","vir_ASV_67","ASV_740",0.0516286344754624
"135","vir_ASV_68","ASV_198",0.046471797402475
"136","vir_ASV_68","ASV_308",0.0204225669561287
"137","vir_ASV_69","ASV_41",-0.0177497737853697
"138","vir_ASV_69","ASV_83",-0.0162968692146109
"139","vir_ASV_69","ASV_335",0.0527998103663072
"140","vir_ASV_70","ASV_113",0.0511912593090741
"141","vir_ASV_70","ASV_740",0.0738494282835355
"142","vir_ASV_70","ASV_1165",-0.012165843434262
"143","vir_ASV_71","ASV_677",-0.0629969026878592
"144","vir_ASV_72","ASV_60",0.0207065604661053
"145","vir_ASV_73","ASV_130",-0.00902894085909434
"146","vir_ASV_73","ASV_838",0.0164796648324471
"147","vir_ASV_73","ASV_1310",0.00476733339779814
"148","vir_ASV_75","ASV_50",0.0268439376800964
"149","vir_ASV_75","ASV_771",0.0143204593441445
"150","vir_ASV_77","ASV_27",0.0857446050278479
"151","vir_ASV_77","ASV_434",-0.0114434881823913
"152","vir_ASV_78","ASV_70",0.0027659550116276
"153","vir_ASV_79","ASV_20",0.0375621957510236
"154","vir_ASV_80","ASV_8",0.0815296433999042
"155","vir_ASV_80","ASV_244",0.0653226433660668
"156","vir_ASV_80","ASV_463",-0.0354731756640078
"157","vir_ASV_80","ASV_771",-0.0275750102229892
"158","vir_ASV_81","ASV_83",-0.00833888792209081
"159","vir_ASV_81","ASV_740",0.0352417610900101
"160","vir_ASV_82","ASV_143",-0.0430929294279307
"161","vir_ASV_84","ASV_974",-0.0209066269254772
"162","vir_ASV_86","ASV_198",-0.0018984990574144
"163","vir_ASV_86","ASV_434",-0.0251476174303231
"164","vir_ASV_86","ASV_463",-0.00477237956963686
"165","vir_ASV_86","ASV_754",-0.0278537364628019
"166","vir_ASV_87","ASV_55",-0.0181170055291204
"167","vir_ASV_87","ASV_198",0.0221331058928579
"168","vir_ASV_87","ASV_697",-0.0759239508971185
"169","vir_ASV_89","ASV_131",0.0419279249771272
"170","vir_ASV_89","ASV_643",0.00116159661034143
"171","vir_ASV_89","ASV_1651",0.0114843488809066
"172","vir_ASV_90","ASV_566",-0.0407692130279351
"173","vir_ASV_91","ASV_171",0.00223849054573505
"174","vir_ASV_91","ASV_463",0.0572517431835468
"175","vir_ASV_91","ASV_780",-0.0647518925415956
"176","vir_ASV_91","ASV_1310",-0.032520169341173
"177","vir_ASV_91","ASV_1453",-0.0729487902256871
"178","vir_ASV_91","ASV_1669",-0.0814349194131528
"179","vir_ASV_93","ASV_326",-0.00385102550324667
"180","vir_ASV_94","ASV_27",0.0232095729805391
"181","vir_ASV_95","ASV_131",0.0198194353958328
"182","vir_ASV_95","ASV_1030",0.00488173463732017
"183","vir_ASV_96","ASV_27",-0.0850248614534778
"184","vir_ASV_99","ASV_10",-0.104690040649203
"185","vir_ASV_99","ASV_16",-0.0298864264480065
"186","vir_ASV_99","ASV_1453",0.013735272469832
"187","vir_ASV_100","ASV_463",0.0221705732375081
"188","vir_ASV_100","ASV_974",-0.0108014287575132
"189","vir_ASV_101","ASV_360",-0.00923313576812432
"190","vir_ASV_101","ASV_1030",0.0170222965493803
"191","vir_ASV_101","ASV_1043",0.035891792040223
"192","vir_ASV_101","ASV_1675",0.11138745241195
"193","vir_ASV_103","ASV_717",-0.0168557708123941
"194","vir_ASV_103","ASV_885",0.0528965690305825
"195","vir_ASV_108","ASV_677",-0.0365327120020555
"196","vir_ASV_108","ASV_1580",-0.0259706008289324
"197","vir_ASV_110","ASV_530",0.0511565209004237
"198","vir_ASV_110","ASV_619",0.0440115897532525
"199","vir_ASV_111","ASV_130",0.0275391817473543
"200","vir_ASV_111","ASV_500",0.042012995957357
"201","vir_ASV_112","ASV_20",0.0165615112551462
"202","vir_ASV_112","ASV_70",0.0187355604794526
"203","vir_ASV_114","ASV_20",0.0239394259035554
"204","vir_ASV_114","ASV_83",-0.0121630813284223
"205","vir_ASV_114","ASV_130",0.0889590326926549
"206","vir_ASV_118","ASV_697",-0.0121921596016832
"207","vir_ASV_119","ASV_677",-0.00449220009919157
"208","vir_ASV_120","ASV_88",0.00189799564593948
"209","vir_ASV_121","ASV_85",-0.073037399886965
"210","vir_ASV_121","ASV_566",0.0689559725860587
"211","vir_ASV_122","ASV_144",-0.0313695513484813
"212","vir_ASV_122","ASV_198",-0.0155090631711502
"213","vir_ASV_123","ASV_60",-0.182891235748288
"214","vir_ASV_123","ASV_735",0.0770055761233666
"215","vir_ASV_123","ASV_754",-0.00968084967419439
"216","vir_ASV_124","ASV_89",-0.0176085538284605
"217","vir_ASV_125","ASV_1043",0.122249432141116
"218","vir_ASV_126","ASV_55",-0.0233909565191786
"219","vir_ASV_126","ASV_130",0.101691474380541
"220","vir_ASV_126","ASV_566",0.00377439263638635
"221","vir_ASV_126","ASV_1669",0.0238262444380141
"222","vir_ASV_128","ASV_11",-0.0875031635290446
"223","vir_ASV_129","ASV_227",-0.104319565121925
"224","vir_ASV_129","ASV_463",0.0181309570497787
"225","vir_ASV_130","ASV_144",0.0602430481204383
"226","vir_ASV_130","ASV_356",-0.0175676592863355
"227","vir_ASV_131","ASV_50",0.00760039046196564
"228","vir_ASV_132","ASV_335",-0.0422691428628402
"229","vir_ASV_132","ASV_463",0.0701097498491629
"230","vir_ASV_132","ASV_771",0.156638795398673
"231","vir_ASV_135","ASV_7",0.0215166802014143
"232","vir_ASV_135","ASV_37",-0.0161185163375756
